Category;Subcategory;Fact;Support;Opposition
Equality & non-discrimination;Constitution (sexual orientation);A Andorra, la constitució prohibeix la discriminació per orientació sexual?;A Andorra, hauria d'incloure la constitució una prohibició de la discriminació per orientació sexual?;A Andorra, hauria de permetre la constitució la discriminació per orientació sexual?
Equality & non-discrimination;Employment (sexual orientation);A Andorra, s'inclou explícitament l'orientació sexual en la legislació antidiscriminatòria laboral?;A Andorra, s'hauria d'incloure explícitament l'orientació sexual en la legislació laboral antidiscriminatòria?;A Andorra, s'hauria d'excloure l'orientació sexual de la legislació laboral antidiscriminatòria?
Equality & non-discrimination;Goods & services (sexual orientation);A Andorra, la orientació sexual està inclosa explícitament en la legislació antidiscriminatòria de béns i serveis?;A Andorra, s'hauria d'incloure explícitament l'orientació sexual en la legislació antidiscriminatòria de béns i serveis?;A Andorra, s'hauria d'excloure l'orientació sexual de la legislació antidiscriminatòria en béns i serveis?
Equality & non-discrimination;Education (sexual orientation);A Andorra, la legislació prohibeix la discriminació per orientació sexual en l'àmbit de l'educació?;A Andorra, s'hauria de prohibir per llei la discriminació per orientació sexual en l'àmbit de l'educació?;A Andorra, la legislació hauria de permetre la discriminació per orientació sexual en l'àmbit de l'educació?
Equality & non-discrimination;Health (sexual orientation);A Andorra, la legislació prohibeix la discriminació per orientació sexual en l'àmbit de la salut?;A Andorra, s'hauria de prohibir per llei la discriminació per orientació sexual en l'àmbit de la salut?;A Andorra, hauria de permetre la legislació la discriminació per orientació sexual en l'àmbit de la salut?
Equality & non-discrimination;Conversion practices ban (sexual orientation);A Andorra, hi ha alguna legislació o polítiques que prohibeixin pràctiques de conversió o reparatives destinades a canviar l'orientació sexual d'un menor?;A Andorra, s'haurien de prohibir per llei o per polítiques les pràctiques de conversió o reparatives destinades a canviar l'orientació sexual d'un menor?;A Andorra, haurien de permetre's per llei o per polítiques les pràctiques de conversió o reparatives destinades a canviar l'orientació sexual d'un menor?
Equality & non-discrimination;Equality body mandate (sexual orientation);A Andorra, existeix una institució nacional de drets humans o un organisme d'igualtat amb mandat explícit per abordar i treballar de manera sistemàtica les qüestions relacionades amb l'orientació sexual?;A Andorra, s'hauria d'encarregar explícitament a una institució nacional de drets humans o a un organisme d'igualtat que abordi i treballi de manera sistemàtica les qüestions relacionades amb l'orientació sexual?;A Andorra, hauria d'estar facultada una institució nacional de drets humans o un organisme d'igualtat per tractar qüestions relacionades amb l'orientació sexual?
Equality & non-discrimination;Equality action plan (sexual orientation);A Andorra, hi ha un pla d'acció per a la igualtat que inclogui explícitament l'orientació sexual i mesures específiques per al progrés?;A Andorra, hauria d'existir un pla d'acció per a la igualtat que inclogui explícitament l'orientació sexual i mesures específiques per al progrés?;A Andorra, s'hauria d'excloure l'orientació sexual dels plans d'acció per a la igualtat?
Equality & non-discrimination;Constitution (gender identity);A Andorra, la constitució prohibeix la discriminació per raó d'identitat de gènere?;A Andorra, hauria d'incloure la constitució la prohibició de la discriminació per raó d'identitat de gènere?;A Andorra, hauria de permetre la constitució la discriminació per raó d'identitat de gènere?
Equality & non-discrimination;Employment (gender identity);A Andorra, la identitat de gènere està explícitament inclosa en la legislació antidiscriminatòria laboral?;A Andorra, s'hauria d'incloure explícitament la identitat de gènere en la legislació laboral antidiscriminatòria?;A Andorra, s'hauria d'excloure la identitat de gènere de la legislació antidiscriminatòria laboral?
